<pd_type>SAD</pd_type>,<pd_type>NIL</pd_type>
<nil/>,<nil>Y</nil>
>22K1<,>22T0<
>22K2<,>22T0<
>22K7<,>22T0<
>22K8<,>22T0<
>25K1<,>22T0<
>45R5<,>45R0<
>45S3<,>45G1<
>CNBIJ<,>CNNSA<
>CNSTG<,>CNNSA<
>CNJUJ<,>CNNGB<
>CNNJI<,>CNNGB<
>CNXAO<,>CNNSA<
>EEMUG<,>DEHAM<
>MAPTM<,>MATNG<
>0000000000<,>8609000000<
>0206000000<,>0206100000<
>0712000000<,>3402900000<
>0805000000<,>0805100000<
>0900000000<,>0902300000<
>0901000000<,>0901120000<
>0902000000<,>0902100000<
>0910000000<,>3402900000<
>1006000000<,>1006100000<
>1133000000<,>8609000000<
>1173000000<,>8609000000<
>1193000000<,>1210100000<
>1210000000<,>1210100000<
>1509000000<,>1509900000<
>1701000000<,>1701121000<
>1789000000<,>3823190000<
>1823000000<,>3302900000<
>1905000000<,>6911900000<
>1993000000<,>3302900000<
>2009000000<,>2009110000<
>2008000000<,>2008110000<
>2096110000<,>2008970000<
>2106000000<,>2106100000<
>2202000000<,>2202910000<
>2202900000<,>2202910000<
>2204000000<,>2204100000<
>2208000000<,>2208300000<
>2309000000<,>2309100000<
>2714000000<,>2713200000<
>2811000000<,>2811110000<
>3038310000<,>3004100000<
>3082000000<,>2202910000<
>3103000000<,>3103110000<
>31050000000<,>310510000<
>3143000000<,>3302900000<
>3191430200<,>1805000000<
>3301000000<,>8609000000<
>3304000000<,>3304100000<
>3306000000<,>8609000000<
>3402000000<,>3402900000<
>3402190000<,>3302900000<
>3402190000<,>3302900000<
>3405000000<,>3405100000<
>3808000000<,>3808690000<
>3822000000<,>3824999000<
>3824000000<,>3824910000<
>3824780000<,>3824910000<
>3824900000<,>3824910000<
>3901000000<,>3907100000<
>3901.10.00<,>3907100000<
>3901.20.00<,>3907100000<
>3902.30.00<,>3907100000<
>3902000000<,>3907100000<
>3907200000<,>3907100000<
>3924000000<,>3924900000<
>3926000000<,>6911900000<
>3902.10.00<,>3302900000<
>3920000000<,>3302900000<
>3926901000<,>3302900000<
>4011000000<,>4011100000<
>4012000000<,>4011100000<
>4014000000<,>4014100000<
>4015110000<,>4015190000<
>4202000000<,>4015190000<
>4408000000<,>4408100000<
>4800000000<,>4818500000<
>4802000000<,>4818500000<
>4818400000<,>4818500000<
>4825790000<,>4802550000<
>5210000000<,>5210110000<
>5303000000<,>5303100000<
>5407000000<,>5407100000<
>5407000000<,>5407100000<
>5607000000<,>5607210000<
>5702000000<,>6911900000<
>5703000000<,>5407100000<
>6103000000<,>6103100000<
>6114000000<,>6114200000<
>6109000000<,>6911900000<
>6210000000<.>6210100000<
>6402000000<,>6402120000<
>6601000000<,>6911900000<
>6806000000<,>6911900000<
>6810000000<,>6810110000<
>6903000000<,>6911900000<
>6907900000<,>6904900000<
>7013300000<,>7013330000>
>7304000000<,>8703243100<
>7314000000<,>8703243100<
>7600000000<,>7615100000<
>7610000000<,>3925200000<
>7903000000<,>7901110000<
>8103000000<,>8103200000<
>8302000000<,>8103200000<
>8309000000<,>8103200000<
>8418000000<,>8431100000<
>8426110000<,>8431100000<
>8426410000<,>8431100000<
>8427100000<,>8431100000<
>8427900000<,>8431100000<
>8427200000<,>8431100000<
>8428900000<,>8431100000<
>8426190000<,>8431100000<
>8429200000<,>8431100000<
>8429400000<,>8431100000<
>8429511000<,>8431100000<
>8429519900<,>8431100000<
>8429520000<,>8431100000<
>8430410000<,>8703243100<
>8430500000<,>8708290000<
>8431390000<,>8431100000<
>8433510000<,>8431100000<
>8450000000<,>8450111000<
>8471000000<,>8703243100<
>8473000000<,>8703243100<
>8482000000<,>8431100000<
>8482900000<,>8431100000<
>8517700000<,>6911900000<
>8517000000<,>6911900000<
>8528510000<,>6911900000<
>8529000000<,>6911900000<
>8535000000<,>8535100000<
>8544000000<,>8544110000<
>8700000000<,>8703243100<
>8703000000<,>8703243100<
>8704211000<,>8703243100<
>8704311000<,>8703243100<
>8705900000<,>8703243100<
>8705909000<,>8703243100<
>8706001000<,>8703243100<
>8708000000<,>8708290000<
>8708290000<,>8703243100<
>8701910000<,>8703243100<
>8710000000<,>8703243100<
>8711600000<,>8703243100<
>8716391000<,>8703243100<
>8716800000<,>8703243100<
>9000000000<,>6911900000<
>9005000000<,>6911900000<
>9018000000<,>9018110000<
>9027800000<,>9018110000<
>9401300000<,>6911900000<
>9403000000<,>6911900000<
>9403900000<,>6911900000<
>9406000000<,>9406101000<
>9800000000<,>8708290000<
>9801000000<,>8708290000<
>9804000000<,>8703243100<
>9804900000<,>9406101000<
>9805000000<,>6911900000<
>9806000000<,>6911900000<
>9817000000<,>8703243100<
>9900000000<,>6911900000<
>9905000000<,>6911900000<
>9919000000<,>6911900000<
>9919100000<,>6911900000<
>9995000000<,>6911900000<
